"","name","caption"
"167","screens/vlcsnap-2022-12-17-17h53m21s091.png","a new co-operative market in Leningrad"
"168","screens/vlcsnap-2022-12-17-17h53m36s219.png","the graveyard of political prisoners in Vorkuta"
"169","screens/vlcsnap-2022-12-17-17h53m41s659.png","reindeer herding in Vorkuta"
"170","screens/vlcsnap-2022-12-17-17h54m18s857.png","tape wiped by the Soviet censor"
"171","screens/vlcsnap-2022-12-17-17h54m21s918.png","Poland 1987 demonstration demanding democracy and independence"
"172","screens/vlcsnap-2022-12-17-17h54m28s135.png","as part of Perestroika the top 5 generals in the KGB took part in a phone-in"
"173","screens/vlcsnap-2022-12-17-17h54m31s274.png","the generals assured viewers that the KGB did not keep files on individuals"
"174","screens/vlcsnap-2022-12-17-17h54m33s975.png","no one believed them"
"175","screens/vlcsnap-2022-12-17-17h54m37s056.png","girl showing her ""magic hands"" Azerbaijan"
"176","screens/vlcsnap-2022-12-17-17h54m48s929.png","under communism there had been no profit and loss"
"177","screens/vlcsnap-2022-12-17-17h54m51s209.png","industries traded with each other using an artificial currency called ""non-cash"""
"178","screens/vlcsnap-2022-12-17-17h54m54s149.png","but the new co-operatives were allowed to convert non-cash into real money"
"179","screens/vlcsnap-2022-12-17-17h54m55s925.png","a young communist called Mikhail Khodorkovsky saw the opportunity this offered"
"180","screens/vlcsnap-2022-12-17-17h54m58s962.png","he set up co-operatives which begin to take non-cash out of the old industries"
"181","screens/vlcsnap-2022-12-17-17h55m02s139.png","and turn it into real money"
"182","screens/vlcsnap-2022-12-17-17h55m04s571.png","Khodorkovsky began to make millions out of nothing"
"183","screens/vlcsnap-2022-12-17-17h55m06s708.png","he became the first of the oligarchs"
"184","screens/vlcsnap-2022-12-17-17h55m08s956.png","discotheque Kosmos Hotel Moscow"
"185","screens/vlcsnap-2022-12-17-17h55m32s456.png","the scientists finally found the core"
"186","screens/vlcsnap-2022-12-17-17h55m36s326.png","an oil pipeline exploded in Siberia"
"187","screens/vlcsnap-2022-12-17-17h55m38s876.png","it killed 575 people in a passing train"
